timestamp,open,high,low,close,volume
2024-01-01,42283.58000000,44184.10000000,42180.77000000,44179.55000000,27174.29903000
2024-01-02,44179.55000000,45879.63000000,44148.34000000,44946.91000000,65146.40661000
2024-01-03,44946.91000000,45500.00000000,40750.00000000,42845.23000000,81194.55173000
2024-01-04,42845.23000000,44729.58000000,42613.77000000,44151.10000000,48038.06334000
2024-01-05,44151.10000000,44357.46000000,42450.00000000,44145.11000000,48075.25327000
2024-01-06,44145.12000000,44214.42000000,43397.05000000,43968.32000000,17835.06144000
2024-01-07,43968.32000000,44480.59000000,43572.09000000,43929.02000000,23023.85080000
2024-01-08,43929.01000000,47248.99000000,43175.00000000,46951.04000000,72814.57589000
2024-01-09,46951.04000000,47972.00000000,44748.67000000,46110.00000000,69927.66617000
2024-01-10,46110.00000000,47695.93000000,44300.36000000,46653.99000000,89911.41203000
2024-01-11,46654.00000000,48969.48000000,45606.06000000,46339.16000000,87470.32960000
2024-01-12,46339.16000000,46515.53000000,41500.00000000,42782.73000000,86327.93707000
2024-01-13,42782.74000000,43257.00000000,42436.12000000,42847.99000000,36118.47464000
2024-01-14,42847.99000000,43079.00000000,41720.00000000,41732.35000000,28228.40894000
2024-01-15,41732.35000000,43400.43000000,41718.05000000,42511.10000000,40269.89303000
2024-01-16,42511.10000000,43578.01000000,42050.00000000,43137.95000000,45045.74589000
2024-01-17,43137.94000000,43198.00000000,42200.69000000,42776.10000000,33266.21388000
2024-01-18,42776.09000000,42930.00000000,40683.28000000,41327.50000000,43907.51641000
2024-01-19,41327.51000000,42196.86000000,40280.00000000,41659.03000000,48342.74559000
2024-01-20,41659.03000000,41872.56000000,41456.30000000,41696.04000000,15923.99493000
2024-01-21,41696.05000000,41881.39000000,41500.98000000,41580.33000000,11730.16301000
2024-01-22,41580.32000000,41689.65000000,39431.58000000,39568.02000000,55426.19911000
2024-01-23,39568.02000000,40176.74000000,38555.00000000,39897.60000000,57956.63351000
2024-01-24,39897.59000000,40555.00000000,39484.19000000,40084.88000000,39293.82861000
2024-01-25,40084.89000000,40300.24000000,39550.00000000,39961.09000000,31022.11853000
2024-01-26,39961.09000000,42246.82000000,39822.52000000,41823.51000000,47384.96726000
2024-01-27,41823.51000000,42200.00000000,41394.34000000,42120.63000000,16224.41667000
2024-01-28,42120.63000000,42842.68000000,41620.81000000,42031.06000000,27294.99838000
2024-01-29,42031.05000000,43333.00000000,41804.88000000,43302.70000000,31542.74207000
2024-01-30,43302.71000000,43882.36000000,42683.99000000,42941.10000000,37619.24546000
2024-01-31,42941.10000000,43745.11000000,42276.84000000,42580.00000000,39871.13688000
2024-02-01,42580.00000000,43285.13000000,41884.28000000,43082.94000000,35231.04664000
2024-02-02,43082.95000000,43488.00000000,42546.79000000,43200.00000000,29672.14418000
2024-02-03,43199.99000000,43380.01000000,42880.00000000,43011.09000000,12033.40998000
2024-02-04,43011.10000000,43119.04000000,42222.00000000,42582.88000000,17066.89404000
2024-02-05,42582.88000000,43569.76000000,42258.10000000,42708.70000000,29467.75905000
2024-02-06,42708.70000000,43399.98000000,42574.00000000,43098.95000000,24675.85433000
2024-02-07,43098.96000000,44396.50000000,42788.00000000,44349.60000000,34392.59915000
2024-02-08,44349.60000000,45614.30000000,44331.10000000,45288.65000000,45439.62231000
2024-02-09,45288.66000000,48200.00000000,45242.12000000,47132.77000000,73503.48100000
2024-02-10,47132.78000000,48170.00000000,46800.00000000,47751.09000000,24802.35936000
2024-02-11,47751.08000000,48592.66000000,47557.16000000,48299.99000000,29958.80837000
2024-02-12,48300.00000000,50334.82000000,47710.01000000,49917.27000000,59009.96705000
2024-02-13,49917.28000000,50368.61000000,48300.95000000,49699.59000000,55551.56706000
2024-02-14,49699.60000000,52043.71000000,49225.01000000,51795.17000000,57046.37401000
2024-02-15,51795.17000000,52816.62000000,51314.00000000,51880.00000000,53816.03055000
2024-02-16,51880.01000000,52572.08000000,51566.00000000,52124.11000000,37772.25318000
2024-02-17,52124.10000000,52162.82000000,50625.00000000,51642.64000000,25674.00622000
2024-02-18,51642.64000000,52377.00000000,51163.28000000,52137.67000000,21992.10363000
2024-02-19,52137.68000000,52488.77000000,51677.00000000,51774.73000000,29534.99432000
2024-02-20,51774.74000000,52985.00000000,50760.37000000,52258.82000000,49614.47318000
2024-02-21,52258.82000000,52366.80000000,50625.00000000,51849.39000000,43079.40049000
2024-02-22,51849.38000000,52065.78000000,50940.78000000,51288.42000000,35309.44574000
2024-02-23,51288.42000000,51548.54000000,50521.00000000,50744.15000000,30545.79544000
